"Gymnastics","Gymnastics Women's Balance Beam"
"Cycling","Cycling Men's Road Race, Individual"
"Athletics","Athletics Men's 800 metres"
"Athletics","Athletics Men's 800 metres"
"Basketball","Basketball Women's Basketball"
"Athletics","Athletics Men's 3,000 metres Steeplechase"
"Judo","Judo Women's Lightweight"
"Athletics","Athletics Men's High Jump"
"Athletics","Athletics Women's High Jump"
"Athletics","Athletics Men's Javelin Throw"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Swimming","Swimming Men's 50 metres Freestyle"
"Canoeing","Canoeing Women's Kayak Singles, 200 metres"
"Canoeing","Canoeing Women's Kayak Fours, 500 metres"
"Diving","Diving Women's Springboard"
"Fencing","Fencing Men's Sabre, Individual"
"Handball","Handball Men's Handball"
"Athletics","Athletics Women's 4 x 400 metres Relay"
"Hockey","Hockey Men's Hockey"
"Rugby Sevens","Rugby Sevens Women's Rugby Sevens"
"Wrestling","Wrestling Men's Light-Heavyweight, Freestyle"
"Basketball","Basketball Men's Basketball"
"Sailing","Sailing Women's Two Person Dinghy"
"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group"
"Badminton","Badminton Mixed Doubles"
"Weightlifting","Weightlifting Men's Light-Heavyweight"
"Rugby Sevens","Rugby Sevens Men's Rugby Sevens"
"Handball","Handball Women's Handball"
"Athletics","Athletics Men's 800 metres"
"Athletics","Athletics Men's 1,500 metres"
"Athletics","Athletics Men's Javelin Throw"
"Athletics","Athletics Women's 200 metres"
"Athletics","Athletics Women's 4 x 100 metres Relay"
"Wrestling","Wrestling Women's Lightweight, Freestyle"
"Athletics","Athletics Women's 100 metres Hurdles"
"Football","Football Men's Football"
"Boxing","Boxing Men's Light-Welterweight"
"Judo","Judo Men's Half-Lightweight"
"Golf","Golf Men's Individual"
"Judo","Judo Men's Lightweight"
"Hockey","Hockey Women's Hockey"
"Swimming","Swimming Women's 100 metres Butterfly"
"Swimming","Swimming Women's 200 metres Butterfly"
"Athletics","Athletics Women's Marathon"
"Handball","Handball Women's Handball"
"Athletics","Athletics Women's 400 metres Hurdles"
"Athletics","Athletics Women's 4 x 400 metres Relay"
"Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group"
"Athletics","Athletics Women's Discus Throw"
"Archery","Archery Women's Individual"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Synchronized Swimming","Synchronized Swimming Women's Team"
"Canoeing","Canoeing Women's Kayak Singles, 500 metres"
"Canoeing","Canoeing Women's Kayak Fours, 500 metres"
"Athletics","Athletics Men's Hammer Throw"
"Judo","Judo Women's Heavyweight"
"Rowing","Rowing Women's Coxless Pairs"
"Basketball","Basketball Men's Basketball"
"Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
"Equestrianism","Equestrianism Mixed Three-Day Event, Team"
"Swimming","Swimming Women's 10 kilometres Open Water"
"Volleyball","Volleyball Men's Volleyball"
"Football","Football Women's Football"
"Handball","Handball Men's Handball"
"Handball","Handball Men's Handball"
"Weightlifting","Weightlifting Women's Lightweight"
"Equestrianism","Equestrianism Mixed Jumping, Individual"
"Athletics","Athletics Men's 400 metres Hurdles"
"Football","Football Women's Football"
"Taekwondo","Taekwondo Women's Flyweight"
"Trampolining","Trampolining Men's Individual"
"Gymnastics","Gymnastics Women's Individual All-Around"
"Gymnastics","Gymnastics Women's Team All-Around"
"Gymnastics","Gymnastics Women's Floor Exercise"
"Gymnastics","Gymnastics Women's Uneven Bars"
"Gymnastics","Gymnastics Women's Balance Beam"
"Athletics","Athletics Women's Javelin Throw"
"Athletics","Athletics Men's 1,500 metres"
"Cycling","Cycling Men's Mountainbike, Cross-Country"
"Athletics","Athletics Women's Javelin Throw"
"Football","Football Women's Football"
"Football","Football Women's Football"
"Athletics","Athletics Women's 10,000 metres"
"Athletics","Athletics Men's 1,500 metres"
"Athletics","Athletics Men's Decathlon"
"Swimming","Swimming Women's 200 metres Breaststroke"
"Swimming","Swimming Women's 4 x 100 metres Freestyle Relay"
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
"Swimming","Swimming Women's 200 metres Individual Medley"
"Wrestling","Wrestling Men's Heavyweight, Freestyle"
"Rowing","Rowing Men's Double Sculls"
"Swimming","Swimming Men's 400 metres Freestyle"
"Swimming","Swimming Men's 4 x 200 metres Freestyle Relay"
"Athletics","Athletics Men's 800 metres"
"Athletics","Athletics Men's 4 x 100 metres Relay"
"Rowing","Rowing Men's Coxless Fours"
"Athletics","Athletics Women's High Jump"
"Swimming","Swimming Men's 100 metres Freestyle"
"Swimming","Swimming Men's 100 metres Butterfly"
"Athletics","Athletics Women's 400 metres Hurdles"
"Cycling","Cycling Women's Team Pursuit"
"Athletics","Athletics Men's 4 x 400 metres Relay"
"Triathlon","Triathlon Women's Olympic Distance"
"Fencing","Fencing Men's epee, Individual"
"Fencing","Fencing Men's epee, Team"
"Canoeing","Canoeing Men's Kayak Singles, 1,000 metres"
"Canoeing","Canoeing Men's Kayak Fours, 1,000 metres"
"Wrestling","Wrestling Men's Featherweight, Freestyle"
"Hockey","Hockey Women's Hockey"
"Fencing","Fencing Men's Sabre, Individual"
"Water Polo","Water Polo Women's Water Polo"
"Wrestling","Wrestling Women's Lightweight, Freestyle"
"Basketball","Basketball Men's Basketball"
"Athletics","Athletics Women's Discus Throw"
"Canoeing","Canoeing Men's Canadian Doubles, Slalom"
"Water Polo","Water Polo Men's Water Polo"
"Cycling","Cycling Men's Mountainbike, Cross-Country"
"Volleyball","Volleyball Men's Volleyball"
"Rowing","Rowing Women's Double Sculls"
"Archery","Archery Men's Individual"
"Archery","Archery Men's Team"
"Archery","Archery Women's Individual"
"Canoeing","Canoeing Women's Kayak Singles, 500 metres"
"Canoeing","Canoeing Women's Kayak Doubles, 500 metres"
"Fencing","Fencing Women's Sabre, Individual"
"Swimming","Swimming Women's 4 x 200 metres Freestyle Relay"
"Athletics","Athletics Men's 5,000 metres"
"Athletics","Athletics Men's Hammer Throw"
"Golf","Golf Men's Individual"
"Fencing","Fencing Men's Sabre, Individual"
"Table Tennis","Table Tennis Men's Singles"
"Table Tennis","Table Tennis Men's Team"
"Equestrianism","Equestrianism Mixed Three-Day Event, Individual"
"Equestrianism","Equestrianism Mixed Three-Day Event, Team"
"Handball","Handball Men's Handball"
"Football","Football Women's Football"
"Judo","Judo Men's Half-Heavyweight"
"Athletics","Athletics Men's Marathon"
"Athletics","Athletics Women's 10,000 metres"
"Beach Volleyball","Beach Volleyball Men's Beach Volleyball"
"Athletics","Athletics Women's 800 metres"
"Athletics","Athletics Women's 1,500 metres"
"Water Polo","Water Polo Men's Water Polo"
"Athletics","Athletics Men's 50 kilometres Walk"
"Athletics","Athletics Men's Javelin Throw"
"Volleyball","Volleyball Women's Volleyball"
"Swimming","Swimming Women's 100 metres Butterfly"
"Water Polo","Water Polo Women's Water Polo"
"Synchronized Swimming","Synchronized Swimming Women's Duet"
"Rowing","Rowing Men's Coxed Eights"
"Swimming","Swimming Women's 10 kilometres Open Water"
"Athletics","Athletics Men's 3,000 metres Steeplechase"
"Rugby Sevens","Rugby Sevens Women's Rugby Sevens"
"Cycling","Cycling Men's Road Race, Individual"
"Sailing","Sailing Men's One Person Dinghy"
"Boxing","Boxing Women's Lightweight"
"Rugby Sevens","Rugby Sevens Women's Rugby Sevens"
"Athletics","Athletics Men's Decathlon"
"Athletics","Athletics Men's Marathon"
"Athletics","Athletics Men's 50 kilometres Walk"
"Athletics","Athletics Men's 20 kilometres Walk"
"Athletics","Athletics Women's Shot Put"
"Cycling","Cycling Women's Team Pursuit"
"Hockey","Hockey Men's Hockey"
"Swimming","Swimming Women's 50 metres Freestyle"
"Athletics","Athletics Men's 20 kilometres Walk"
"Boxing","Boxing Men's Light-Welterweight"
"Boxing","Boxing Men's Welterweight"
"Athletics","Athletics Women's 20 kilometres Walk"
"Badminton","Badminton Mixed Doubles"
"Handball","Handball Women's Handball"
"Athletics","Athletics Men's Pole Vault"
"Athletics","Athletics Men's 20 kilometres Walk"
"Swimming","Swimming Women's 10 kilometres Open Water"
"Boxing","Boxing Men's Light-Flyweight"
"Wrestling","Wrestling Women's Featherweight, Freestyle"
"Weightlifting","Weightlifting Men's Lightweight"
"Football","Football Women's Football"
"Athletics","Athletics Women's Marathon"
"Football","Football Women's Football"
"Swimming","Swimming Men's 400 metres Freestyle"
"Gymnastics","Gymnastics Men's Individual All-Around"
"Gymnastics","Gymnastics Men's Floor Exercise"
"Gymnastics","Gymnastics Men's Parallel Bars"
"Gymnastics","Gymnastics Men's Horizontal Bar"
"Gymnastics","Gymnastics Men's Rings"
"Gymnastics","Gymnastics Men's Pommelled Horse"
"Athletics","Athletics Men's 10,000 metres"
"Football","Football Women's Football"
"Boxing","Boxing Men's Super-Heavyweight"
"Volleyball","Volleyball Men's Volleyball"
"Athletics","Athletics Women's Marathon"
"Athletics","Athletics Women's Marathon"
"Judo","Judo Men's Half-Heavyweight"
"Cycling","Cycling Women's Road Race, Individual"
"Cycling","Cycling Women's Road Race, Individual"
"Cycling","Cycling Women's Individual Time Trial"
"Athletics","Athletics Men's Shot Put"
"Football","Football Women's Football"
"Rowing","Rowing Women's Double Sculls"
"Handball","Handball Women's Handball"
"Triathlon","Triathlon Men's Olympic Distance"
"Fencing","Fencing Women's Sabre, Individual"
